Word1	Word2	pwMI
let's	break	3.07809118371
she'll	cut	5.7275979292
an	antique	5.38275744291
account	who	3.00101144117
very	top	2.3291821905
minus	ex	7.6540899924
free	ticket	6.1404431446
shit	really	1.71719459539
be	beautiful	0.993734937198
visit	with	3.65145532795
therein	be	2.29301792133
election	posters	10.3525707425
her	job	1.87859825352
gift	i	0.907652441566
mind	x	2.61571794333
haven't	eat	3.45360396953
about	then	-0.590613627454
lemon	you	0.535124582977
dad	who's	4.01044932376
ugh	god	4.11766994079
heart	into	2.45119338869
the	pony	2.20270426228
quit	shed	8.07530345747
mm	but	1.48149924134
at	times	3.06057399184
ta	separate	4.7513748566
separate	the	1.56085037611
old	diversion	5.68677593468
um	full	2.15558281522
what	mountain	2.99111590116
about	so	-0.639636052686
unhunh	i	0.365328150741
wear	down	2.50232106613
or	upstairs	3.09856971505
like	look	-0.60145138903
throw	to	-0.665648480602
point	o	4.7430989473
you've	hurt	3.73868329504
make	after	1.00529851601
other	storytelling	4.73489096688
agencies	most	8.08820686231
oh	some	-1.22582406028
ask	her	3.43095365056
oh	enlarge	5.00071260901
draw	yoyo	7.26722631024
project's	for	5.18137677226
hour	mhm	1.36403107384
two	hmm	2.74574834043
discard	a	3.94672264176
hot	it's	1.0503351058
it	seriously	2.67054923166
past	it	0.798747054754
already	look	1.51369268206
difference	so	1.23103426218
couldn't	it	-0.679354855619
tell	scott	3.83047794431
house	have	0.0257740707254
couch	on	2.68488618675
trick	me	2.49547687758
need	it	0.494378063517
cake	about	2.0651681451
something	back	0.408949432207
champion	handicap	7.778051934
uchi	mother	5.89098228497
here	how	0.124907225713
like	itzhak	4.67496114213
one's	this	1.72419402211
trial	of	3.24207872196
function	or	4.01486044693
the	temple	2.84706127867
same	spacesuit	6.1404431446
his	arm	3.21266261803
oughta	be	1.59987074077
better	go	1.07797704628
position	of	1.16263718028
they	brood	3.82726619574
strong	be	-0.297249244117
tough	for	2.18564449871
r	you	0.0733065383178
one	board	1.28819589034
feel	at	0.704879073536
basically	i	0.13754421987
that	don't	-1.80945596721
but	you're	0.334862045856
purple	basil	10.6402528149
go	all	0.441688204542
take	over	2.14306582709
light	outside	4.14398071639
my	power	1.11953976059
big	white	3.58637902782
low	actually	4.23227332353
that	awfully	2.9030727371
the	parking	1.90259966983
it's	actually	0.787970841335
waist	anyway	6.5972015471
remake	of	4.34069101063
scar	to	1.92461868484
show	matt	4.54292787713
more	about	1.10805541871
jakarta	no	5.36725325637
imitatingbabycrying	we	4.29754471388
because	look	-0.256560581943
god	yeah	-0.0626170512303
want	you	0.899870003588
could've	either	5.18208674744
rid	on	2.55705281524
batman	forever	9.54164052627
at	not	-1.53638072119
processing	center	8.2731292008
six	be	-0.520392795431
um	take	-0.0632912338095
g	gain	6.8152411865
middle	well	1.46664558601
yep	jeez	6.59137062679
rap	information	7.82684209817
so	yeah	-0.0907215778005
hm	mhm	1.67065034732
