Word1	Word2	pwMI
they're	growing	3.64448665863
let's	break	3.8557957523
she'll	cut	5.8852268734
an	antique	5.38797938689
account	who	3.21370374254
very	top	2.3291821905
minus	ex	7.6540899924
bit	did	0.939187490899
shit	really	1.71719459539
be	beautiful	1.57455293278
plugging	into	6.74165282984
have	made	0.00346831321112
election	posters	9.94710563437
her	job	1.89512755547
or	shavings	5.40115480805
mind	x	2.66177045077
think	are	-1.09876385275
about	then	-0.590613627454
hm	mhm	1.67065034732
dad	who's	4.01044932376
ugh	god	4.12727001452
heart	into	2.91301143335
real	easily	5.17289615607
mm	but	1.48149924134
going	as	0.20354234119
at	times	1.53649592836
ta	separate	4.86260049171
separate	the	1.26661090311
going	downhill	6.54036807234
ninth	oh	3.61441824789
um	full	2.15558281522
so	bored	2.67795324512
what	mountain	4.24387886965
about	so	-0.639636052686
unhunh	i	0.365328150741
wear	down	2.84357800087
was	revealing	4.4769380109
or	upstairs	3.09856971505
three	panes	6.5972015471
throw	to	-0.25013303664
point	o	4.91775763135
you've	hurt	4.33245800179
other	storytelling	4.73489096688
played	on	2.37473125845
oh	some	-1.22582406028
ask	her	3.49273101026
chose	that	2.05577487671
draw	yoyo	7.92115277765
staying	away	5.38972611222
two	hmm	2.74755176743
discard	a	3.94672264176
hot	it's	1.0503351058
ends	all	3.22177191719
it	seriously	2.67054923166
past	it	0.798747054754
realized	that	3.11438183077
bedspreads	would	5.88666262383
couldn't	it	-0.679354855619
house	have	-0.0606105434734
came	having	2.77442527006
trick	me	2.87496649928
need	it	0.679743762692
cake	about	2.28139125357
uh	guy	-0.396892368013
something	back	0.432791621169
champion	handicap	8.28887755777
uchi	mother	5.95812158781
here	how	0.124907225713
like	itzhak	4.69832871339
one's	this	1.72419402211
ti	if	4.09203371217
the	temple	2.84706127867
same	spacesuit	6.1404431446
for	quarantining	5.18137677226
good	grades	4.9772923348
was	moving	1.43241557318
oughta	be	3.56698309747
better	go	1.80560032608
position	of	1.24964855727
cycles	and	2.76995955291
they	brood	3.82726619574
tough	for	2.18564449871
that	rode	3.30853784521
r	you	0.0733065383178
one	board	1.41428518707
basically	i	0.13754421987
that	don't	-1.80945596721
but	you're	0.334862045856
purple	basil	11.045717923
go	all	0.630314983605
best	out	1.66209673892
my	power	1.13180985318
big	white	3.58637902782
low	actually	4.30638129569
that	awfully	2.9030727371
the	parking	1.90259966983
waist	anyway	6.5972015471
remake	of	4.34069101063
whether	this	1.48303196529
gwen	was	4.4769380109
more	about	1.10805541871
little	worried	3.87925891735
hard	feelings	5.49858925843
imitatingbabycrying	we	4.29754471388
because	look	0.40803722051
god	yeah	-0.0530169775013
could've	either	5.18208674744
batman	forever	9.54164052627
at	not	-1.53638072119
processing	center	7.89941279101
of	studying	2.7312530982
up	sent	2.19434082552
um	take	0.461915168762
new	feathers	4.51338363082
types	like	2.50110413605
yep	jeez	6.59137062679
rap	information	8.51998927873
she's	begun	5.48119751572
so	yeah	-0.0907215778005
fits	your	3.94219028954
touched	me	3.64815638752
could	oh	-0.84861217094
recorded	the	2.30806477794
mike	yesterday	5.90405436654
knee	gets	5.15683996471
b	tamales	5.62518292377
for	where	-0.030837895231
drag	he	2.57268562741
pillows	mhm	4.16739145475
done	yeah	-0.415782659936
tupperware	out	5.53329774983
cemetery	yeah	2.97872573358
mark	and	0.572734975576
there's	pulse	5.35198578424
things	called	2.06252912378
dance	not	2.54679054043
festival	children	7.98936102767
man	mhm	0.388899841947
about	jennifer	2.60416464583
by	say	0.694224745384
year	for	0.591320224086
everyone	but	1.45475173297
got	insurance	3.4714161453
credit	obligations	10.6402528149
low	blood	6.17818347259
mother	couldn't	3.41914771675
home	oh	0.140900204645
princess	do	2.9970095149
elementary	school	7.84704480549
power	screwdriver	6.65126876837
developed	a	2.56042828064
horse	for	0.410692147798
mind	what	1.13036356044
she	kinda	0.858462197376
had	breakfast	3.53255437781
taught	and	0.824049403857
out	which	0.650495827246
penguins	is	1.93797799035
kitchen	is	2.19391136449
fifty	some	1.64112742341
makikomi	technique	9.3409698308
next	time	3.71465761782
god	mark	3.80184761409
hopes	to	3.02323097351
yeah	this'll	2.79640417678
the	cello	1.10409197362
best	i	-0.437819925033
arranged	i'm	4.88662253455
sentences	together	5.92473457178
dinner	just	1.18940059748
old	diversion	5.69267565681
little	smaller	3.50456546791
we'll	bring	3.73650555735
that	call	-1.05456077958
intercom	system	8.46172037061
have	supposedly	2.83668165727
like	fish	1.58481340418
nothing	in	0.61720602734
are	i'll	0.00694066422347
